M,type,N1,N2,N3
734,TRIA,461,415,471
735,TRIA,461,393,415
736,TRIA,342,341,472
737,TRIA,463,342,472
738,TRIA,463,418,342
739,TRIA,341,340,472
740,TRIA,340,473,472
741,TRIA,339,474,473
742,TRIA,339,473,340
743,TRIA,338,474,339
744,TRIA,338,339,337
745,TRIA,301,244,298
746,TRIA,64,303,244
747,TRIA,298,244,303
748,TRIA,297,304,279
749,TRIA,304,121,124
750,TRIA,304,124,279
751,TRIA,402,459,475
752,TRIA,402,475,427
753,TRIA,476,428,427
754,TRIA,475,476,427
755,TRIA,477,428,476
756,TRIA,478,429,477
757,TRIA,429,428,477
758,TRIA,430,478,479
759,TRIA,426,430,479
760,TRIA,480,426,479
761,TRIA,430,429,478
762,TRIA,481,425,480
763,TRIA,425,426,480
764,TRIA,408,425,481
765,TRIA,482,408,481
766,TRIA,482,407,408
767,TRIA,483,407,482
768,TRIA,406,407,483
769,TRIA,437,406,483
770,TRIA,437,401,406
771,TRIA,484,485,486
772,TRIA,484,486,487
773,TRIA,488,489,490
774,TRIA,488,490,491
775,TRIA,492,484,487
776,TRIA,492,487,493
777,TRIA,492,493,494
778,TRIA,495,496,492
779,TRIA,496,484,492
780,TRIA,484,497,485
781,TRIA,484,496,497
782,TRIA,496,498,497
783,TRIA,496,495,498
784,TRIA,485,497,499
785,TRIA,497,498,499
786,TRIA,490,500,501
787,TRIA,490,501,491
788,TRIA,485,499,486
789,TRIA,486,499,489
790,TRIA,489,499,490
791,TRIA,500,502,503
792,TRIA,500,503,501
793,TRIA,504,493,505
794,TRIA,506,504,505
795,TRIA,493,487,505
796,TRIA,505,507,506
797,TRIA,487,486,508
798,TRIA,505,487,508
799,TRIA,507,505,508
800,TRIA,508,488,507
801,TRIA,508,486,489
802,TRIA,488,508,489
803,TRIA,509,494,493
804,TRIA,509,493,504
805,TRIA,510,511,494
806,TRIA,510,494,509
807,TRIA,512,511,510
808,TRIA,512,510,513
809,TRIA,491,514,515
810,TRIA,488,491,515
811,TRIA,501,514,491
812,TRIA,492,512,516
813,TRIA,492,516,517
814,TRIA,511,512,492
815,TRIA,494,511,492
816,TRIA,517,495,492
817,TRIA,517,518,495
818,TRIA,518,519,498
819,TRIA,518,498,495
820,TRIA,519,499,498
821,TRIA,519,520,499
822,TRIA,499,500,490
823,TRIA,521,502,499
824,TRIA,521,499,520
825,TRIA,502,500,499
826,TRIA,503,502,522
